battery_id,vehicle_type,install_date
BATT-001,forklift,2024-02-23
BATT-002,delivery_van,2024-04-23
BATT-003,mining_truck,2024-04-07
BATT-004,intra_plant_shuttle,2024-02-19
BATT-005,forklift,2024-03-06
BATT-006,delivery_van,2024-03-25
BATT-007,mining_truck,2024-03-26
BATT-008,intra_plant_shuttle,2024-01-18
BATT-009,forklift,2024-02-03
BATT-010,delivery_van,2024-02-26
BATT-011,mining_truck,2024-04-18
BATT-012,intra_plant_shuttle,2024-01-13
BATT-013,forklift,2024-03-27
BATT-014,delivery_van,2024-02-18
BATT-015,mining_truck,2024-02-18
BATT-016,intra_plant_shuttle,2024-03-08
BATT-017,forklift,2024-01-24
BATT-018,delivery_van,2024-03-16
BATT-019,mining_truck,2024-02-29
BATT-020,intra_plant_shuttle,2024-02-17
