battery_id,day,voltage,temperature,cycle_count,depth_of_discharge,fast_charge_freq,capacity_pct,internal_resistance_mohm,ambient_temperature
BATT-001,1,349.66,42.64,2,77.12,0.871,99.91,37.83,38.29
BATT-001,2,348.46,46.06,5,67.4,0.972,99.83,39.2,41.11
BATT-001,3,349.37,42.68,8,71.4,0.925,99.74,37.16,37.21
BATT-001,4,349.87,45.93,10,62.51,0.916,99.66,38.26,39.3
BATT-001,5,350.59,47.66,13,77.61,1.0,99.57,39.18,40.11
BATT-001,6,349.2,45.26,15,77.88,0.72,99.49,36.27,40.82
BATT-001,7,351.11,47.3,18,76.46,0.802,99.4,39.85,41.07
BATT-001,8,349.21,46.05,20,85.48,0.821,99.3,37.8,41.26
BATT-001,9,349.18,45.92,23,86.2,0.887,99.22,39.47,39.62
BATT-001,10,350.93,45.22,26,77.99,0.895,99.13,39.54,39.52
BATT-001,11,349.84,45.56,29,66.2,0.795,99.05,40.52,41.57
BATT-001,12,349.2,46.82,32,82.71,0.837,98.96,40.15,40.06
BATT-001,13,349.48,43.73,34,82.34,0.847,98.87,37.38,38.5
BATT-001,14,350.66,44.08,37,80.87,1.0,98.79,39.12,38.78
BATT-001,15,350.72,43.93,39,84.9,1.0,98.7,40.21,39.17
BATT-001,16,348.86,46.54,42,72.02,0.883,98.61,40.03,41.36
BATT-001,17,349.45,47.15,45,91.06,0.887,98.53,40.86,40.89
BATT-001,18,349.53,47.42,48,73.25,0.824,98.44,41.33,41.78
BATT-001,19,348.63,46.33,50,83.51,0.763,98.35,41.31,40.17
BATT-001,20,349.35,47.31,53,68.89,0.906,98.26,40.65,41.12
BATT-001,21,349.36,49.03,55,73.43,0.836,98.17,39.17,41.88
BATT-001,22,350.24,46.03,58,88.11,0.909,98.08,40.73,40.54
BATT-001,23,350.26,46.11,61,77.44,0.788,97.99,41.76,41.76
BATT-001,24,349.0,47.04,63,84.05,0.855,97.9,40.41,40.14
BATT-001,25,349.06,46.15,66,80.43,0.928,97.82,42.29,40.65
BATT-001,26,349.74,47.63,69,78.38,0.945,97.73,42.73,40.69
BATT-001,27,348.7,45.74,71,87.19,0.949,97.64,42.11,39.53
BATT-001,28,349.61,47.82,74,77.59,0.81,97.55,39.07,42.12
BATT-001,29,349.04,46.92,76,68.33,0.984,97.46,41.02,40.74
BATT-001,30,348.3,49.31,79,74.19,0.852,97.37,44.34,41.53
BATT-001,31,348.29,50.2,82,82.32,0.966,97.29,42.06,42.29
BATT-001,32,350.18,48.2,84,81.38,0.915,97.2,40.79,42.3
BATT-001,33,348.87,48.68,87,69.61,0.806,97.12,44.15,42.68
BATT-001,34,350.27,48.5,90,74.66,0.891,97.04,43.08,41.6
BATT-001,35,348.52,46.15,92,75.52,0.945,96.94,44.33,41.17
BATT-001,36,349.13,47.9,94,76.82,0.965,96.86,43.66,41.74
BATT-001,37,350.78,45.19,97,70.75,0.905,96.77,43.99,39.39
BATT-001,38,348.0,45.95,99,75.24,1.0,96.69,44.05,39.8
BATT-001,39,347.29,45.04,102,74.64,0.996,96.6,44.55,40.04
